name,rating,number_of_ratings,services,headquarter,highly_rated,critically_rated
JLL,4.1,4.6k,Real Estate,Mumbai,"Job Security, Skill Development Learning, Company Culture",
Bajaj Allianz Life Insurance,4.0,4.6k,Insurance,Pune,"Salary & Benefits, Work Life Balance, Job Security",
Siemens,4.1,4.5k,Industrial Automation,Munich,"Job Security, Work Life Balance, Company Culture",Promotions Appraisal
Shapoorji Pallonji Group,4.2,4.5k,Engineering & Construction,Mumbai,"Job Security, Work Life Balance, Skill Development Learning",
HSBC Group,4.0,4.5k,Financial Services,Pune,"Job Security, Work Life Balance, Company Culture",Promotions Appraisal
Coforge,3.4,4.5k,IT Services & Consulting,Noida,,"Promotions Appraisal, Salary & Benefits, Work Satisfaction"
Virtusa Consulting Services,3.8,4.5k,IT Services & Consulting,Southborough,,Promotions Appraisal
Indiamart Intermesh,3.5,4.4k,Internet,Noida,,"Promotions Appraisal, Work Satisfaction, Company Culture"
L&T Technology Services,3.4,4.4k,IT Services & Consulting,Vadodara/Baroda,,"Promotions Appraisal, Salary & Benefits, Work Satisfaction"
Ashok Leyland,4.1,4.4k,Automobile,Chennai,"Skill Development Learning, Work Satisfaction, Work Life Balance",
Apollo Hospitals,4.1,4.4k,Healthcare,Chennai,"Job Security, Skill Development Learning, Company Culture",
Firstsource Solutions,3.7,4.3k,BPO,Mumbai,,"Promotions Appraisal, Salary & Benefits"
Standard Chartered,3.8,4.3k,Banking,London,Job Security,Promotions Appraisal
DMart,4.0,4.3k,Retail,Mumbai,"Job Security, Company Culture",Promotions Appraisal
BigBasket,3.9,4.3k,Internet,Bangalore,Job Security,Promotions Appraisal
JustDial,3.5,4.3k,Internet,Mumbai,,"Promotions Appraisal, Work Satisfaction, Job Security"
ICICI Lombard General Insurance Company,3.7,4.3k,Insurance,Mumbai,,"Promotions Appraisal, Work Satisfaction"
CGI Group,4.0,4.3k,IT Services & Consulting,Montreal,"Job Security, Work Life Balance, Company Culture",Promotions Appraisal
Cyient,3.7,4.3k,IT Services & Consulting,Hyderabad/Secunderabad,,"Promotions Appraisal, Salary & Benefits, Work Satisfaction"
GlobalLogic,3.7,4.2k,IT Services & Consulting,San,Work Life Balance,"Promotions Appraisal, Salary & Benefits, Skill Development Learning"
Hero MotoCorp,4.2,4.2k,Automobile,Gurgaon/Gurugram,"Work Life Balance, Company Culture, Job Security",
Vivo,4.1,4.2k,Consumer Electronics & Appliances,Gurgaon/Gurugram,"Skill Development Learning, Company Culture, Work Life Balance",Promotions Appraisal
Home Credit Finance,4.1,4.2k,NBFC,Gurugram,"Company Culture, Work Life Balance, Skill Development Learning",
Mahindra Finance,4.1,4.2k,NBFC,Mumbai,"Company Culture, Job Security, Work Life Balance",
Cholamandalam Investment & Finance,4.0,4.1k,Financial Services,Chennai,"Salary & Benefits, Job Security, Skill Development Learning",
Eviden,3.6,4.1k,IT Services & Consulting,Kolkata,,"Promotions Appraisal, Salary & Benefits"
Bosch Global Software Technologies,4.0,4.1k,Software Product,Gerlingen,"Job Security, Work Life Balance, Company Culture","Promotions Appraisal, Salary & Benefits"
UST,3.8,4.1k,IT Services & Consulting,Aliso,"Work Life Balance, Company Culture",Promotions Appraisal
Manappuram Finance,3.9,4k,NBFC,Thrissur/Trichur,"Skill Development Learning, Promotions Appraisal",
OPPO,4.0,4k,Consumer Electronics & Appliances,Dongguan,Skill Development Learning,Promotions Appraisal
Nagarro,4.0,4k,IT Services & Consulting,Munich,"Work Life Balance, Company Culture, Skill Development Learning",
SMFG India Credit,4.0,4k,NBFC,Mumbai,"Salary & Benefits, Job Security, Company Culture",
TVS Motor,4.0,3.9k,Automobile,Chennai,"Skill Development Learning, Salary & Benefits, Job Security",
SBI Cards & Payment Services,3.7,3.9k,Financial Services,Gurgaon/Gurugram,,"Promotions Appraisal, Work Satisfaction, Company Culture"
IQVIA,3.9,3.9k,Clinical Research,Durham,"Job Security, Company Culture, Work Life Balance",Promotions Appraisal
Optum,4.0,3.9k,Prairie +37 other locations,,"Job Security, Work Life Balance, Company Culture",Promotions Appraisal
Kalpataru Projects International,4.2,3.9k,Engineering & Construction,Mumbai,"Job Security, Skill Development Learning, Salary & Benefits",
Swiggy,3.8,3.9k,Internet,Bangalore,Salary & Benefits,"Job Security, Promotions Appraisal"
BNY,4.0,3.8k,Financial Services,New,"Company Culture, Work Life Balance, Salary & Benefits",Promotions Appraisal
Atos Syntel,3.6,,IT Services & Consulting,Troy,,"Promotions Appraisal, Salary & Benefits, Work Satisfaction"
Amdocs,3.8,3.8k,Software Product,Chesterfield,Company Culture,"Promotions Appraisal, Work Satisfaction"
Hewlett Packard Enterprise,4.2,3.7k,IT Services & Consulting,Houston,"Company Culture, Work Life Balance, Job Security",Promotions Appraisal
State Bank of India,3.8,3.7k,Banking,Mumbai,"Job Security, Salary & Benefits",Work Life Balance
CBRE,4.2,3.7k,Real Estate,Los,"Skill Development Learning, Job Security, Company Culture",
Bosch,4.2,3.7k,Auto Components,Gerlingen,"Company Culture, Work Life Balance, Job Security",
Hyundai Motor India Limited,4.4,3.7k,Automobile,Seoul,"Job Security, Salary & Benefits, Skill Development Learning",
